timestamp,differential_potential_CH1,differential_potential_CH2
2022-01-26 23:40:00,512051,507147
2022-01-26 23:40:02,512082,506919
2022-01-26 23:40:03,511919,506992
2022-01-26 23:40:05,511930,506934
2022-01-26 23:40:07,511727,506817
2022-01-26 23:40:08,512005,507074
2022-01-26 23:40:10,511832,506963
2022-01-26 23:40:12,512038,507073
2022-01-26 23:40:14,512227,507106
2022-01-26 23:40:15,511899,506900
2022-01-26 23:40:17,511988,506959
2022-01-26 23:40:19,511932,506998
2022-01-26 23:40:21,511737,506785
2022-01-26 23:40:22,511841,506857
2022-01-26 23:40:24,511921,506987
2022-01-26 23:40:26,511845,506858
2022-01-26 23:40:27,512074,507014
2022-01-26 23:40:29,511896,506980
2022-01-26 23:40:31,511945,507041
2022-01-26 23:40:33,512077,506746
2022-01-26 23:40:34,511723,506871
2022-01-26 23:40:36,511879,506890
2022-01-26 23:40:38,511920,507066
2022-01-26 23:40:40,511862,507013
2022-01-26 23:40:41,511952,507134
2022-01-26 23:40:43,511962,506854
2022-01-26 23:40:45,511934,507033
2022-01-26 23:40:46,511747,506876
2022-01-26 23:40:48,511896,506838
2022-01-26 23:40:50,511948,507004
2022-01-26 23:40:52,511978,506886
2022-01-26 23:40:53,511868,506869
2022-01-26 23:40:55,512230,507032
2022-01-26 23:40:57,511990,507049
2022-01-26 23:40:59,512031,507076
2022-01-26 23:41:00,512041,506828
2022-01-26 23:41:02,511956,507007
2022-01-26 23:41:04,511880,506882
2022-01-26 23:41:05,511853,506833
2022-01-26 23:41:07,511954,507042
2022-01-26 23:41:09,512066,506952
2022-01-26 23:41:11,511970,506988
2022-01-26 23:41:12,511968,506885
2022-01-26 23:41:14,512077,506839
2022-01-26 23:41:16,512033,506951
2022-01-26 23:41:17,511843,507071
2022-01-26 23:41:19,511950,506934
2022-01-26 23:41:21,512067,507066
2022-01-26 23:41:23,512074,506941
2022-01-26 23:41:24,511768,506873
2022-01-26 23:41:26,511899,507026
2022-01-26 23:41:28,512200,506896
2022-01-26 23:41:30,511735,506707
2022-01-26 23:41:31,511877,506962
2022-01-26 23:41:33,511916,506843
2022-01-26 23:41:35,511926,506961
2022-01-26 23:41:36,512129,507116
2022-01-26 23:41:38,511995,506865
2022-01-26 23:41:40,511984,507108
2022-01-26 23:41:42,512201,506684
2022-01-26 23:41:43,511803,506783
2022-01-26 23:41:45,511965,506959
2022-01-26 23:41:47,511951,506924
2022-01-26 23:41:49,511917,506945
2022-01-26 23:41:50,512151,507167
2022-01-26 23:41:52,511887,506777
2022-01-26 23:41:54,512001,507003
2022-01-26 23:41:55,512039,506828
2022-01-26 23:41:57,511875,506902
2022-01-26 23:41:59,512088,506877
2022-01-26 23:42:01,512141,506852
2022-01-26 23:42:02,511921,506904
2022-01-26 23:42:04,511885,506926
2022-01-26 23:42:06,511825,506955
2022-01-26 23:42:08,511791,507001
2022-01-26 23:42:09,511839,507007
2022-01-26 23:42:11,511895,506693
2022-01-26 23:42:13,511931,506789
2022-01-26 23:42:14,511862,506843
2022-01-26 23:42:16,512019,506915
2022-01-26 23:42:18,512004,507070
2022-01-26 23:42:20,511725,506953
2022-01-26 23:42:21,511938,507115
2022-01-26 23:42:23,511953,506753
2022-01-26 23:42:25,511972,506830
2022-01-26 23:42:27,511923,506913
2022-01-26 23:42:28,512296,506893
2022-01-26 23:42:30,512013,506975
2022-01-26 23:42:32,511924,506967
2022-01-26 23:42:33,511955,506915
2022-01-26 23:42:35,511802,506818
2022-01-26 23:42:37,511881,506939
2022-01-26 23:42:39,511866,506861
2022-01-26 23:42:40,511869,506938
2022-01-26 23:42:42,512037,507084
2022-01-26 23:42:44,511906,507050
2022-01-26 23:42:46,511948,506897
2022-01-26 23:42:47,512041,506936
2022-01-26 23:42:49,511783,506861
2022-01-26 23:42:51,511787,506793
2022-01-26 23:42:52,511938,506957
2022-01-26 23:42:54,511938,506993
2022-01-26 23:42:56,512074,507038
2022-01-26 23:42:58,512175,506844
2022-01-26 23:42:59,511931,507150
2022-01-26 23:43:01,511893,506897
2022-01-26 23:43:03,511824,506989
2022-01-26 23:43:05,512009,507021
2022-01-26 23:43:06,511821,506947
2022-01-26 23:43:08,511958,507003
2022-01-26 23:43:10,512001,506621
2022-01-26 23:43:11,511916,506766
2022-01-26 23:43:13,511928,506874
2022-01-26 23:43:15,511921,506750
2022-01-26 23:43:17,511855,506969
2022-01-26 23:43:18,512042,506953
2022-01-26 23:43:20,511841,506821
2022-01-26 23:43:22,512027,506936
2022-01-26 23:43:24,511869,506923
2022-01-26 23:43:25,511841,507079
2022-01-26 23:43:27,511952,506903
2022-01-26 23:43:29,511869,506857
2022-01-26 23:43:30,512059,506969
2022-01-26 23:43:32,511963,506821
2022-01-26 23:43:34,511837,506739
2022-01-26 23:43:36,511963,506928
2022-01-26 23:43:37,511900,506838
2022-01-26 23:43:39,511868,506930
2022-01-26 23:43:41,512007,506761
2022-01-26 23:43:43,511937,506697
2022-01-26 23:43:44,511869,507051
2022-01-26 23:43:46,511945,506826
2022-01-26 23:43:48,511948,507075
2022-01-26 23:43:49,512042,506929
2022-01-26 23:43:51,511911,506969
2022-01-26 23:43:53,511991,507033
2022-01-26 23:43:55,511833,506915
2022-01-26 23:43:56,511823,506712
2022-01-26 23:43:58,511875,506977
2022-01-26 23:44:00,511856,506974
2022-01-26 23:44:02,511980,507072
2022-01-26 23:44:03,512064,506838
2022-01-26 23:44:05,511880,506984
2022-01-26 23:44:07,511937,507017
2022-01-26 23:44:08,511818,506864
2022-01-26 23:44:10,512036,507003
2022-01-26 23:44:12,512108,506826
2022-01-26 23:44:14,511944,506783
2022-01-26 23:44:15,512077,507042
2022-01-26 23:44:17,511937,506939
2022-01-26 23:44:19,512036,507007
2022-01-26 23:44:21,512174,506864
2022-01-26 23:44:22,511766,506845
2022-01-26 23:44:24,511961,507068
2022-01-26 23:44:26,511796,506963
2022-01-26 23:44:27,511872,506950
2022-01-26 23:44:29,511908,506755
2022-01-26 23:44:31,511971,506828
2022-01-26 23:44:33,511847,506938
2022-01-26 23:44:34,512010,506917
2022-01-26 23:44:36,511869,507023
2022-01-26 23:44:38,512199,506980
2022-01-26 23:44:40,511841,506938
2022-01-26 23:44:41,512002,507025
2022-01-26 23:44:43,511856,506869
2022-01-26 23:44:45,511967,506937
2022-01-26 23:44:46,512041,506729
2022-01-26 23:44:48,511783,506793
2022-01-26 23:44:50,511963,506995
2022-01-26 23:44:52,511885,506920
2022-01-26 23:44:53,511863,507077
2022-01-26 23:44:55,511757,506860
2022-01-26 23:44:57,511967,507088
2022-01-26 23:44:59,511911,506860
2022-01-26 23:45:00,511849,506785
2022-01-26 23:45:02,511828,506991
2022-01-26 23:45:04,511940,506896
2022-01-26 23:45:05,511921,507025
2022-01-26 23:45:07,512073,506767
2022-01-26 23:45:09,511799,506932
2022-01-26 23:45:11,511803,506988
2022-01-26 23:45:12,511840,506822
2022-01-26 23:45:14,512035,506995
2022-01-26 23:45:16,512084,506929
2022-01-26 23:45:18,511868,506780
2022-01-26 23:45:19,511902,507086
2022-01-26 23:45:21,512024,506840
2022-01-26 23:45:23,511798,506809
2022-01-26 23:45:24,511836,506869
2022-01-26 23:45:26,511919,506967
2022-01-26 23:45:28,511975,506950
2022-01-26 23:45:30,511970,506725
2022-01-26 23:45:31,511845,506927
2022-01-26 23:45:33,511987,506906
2022-01-26 23:45:35,512066,507070
2022-01-26 23:45:37,511886,506723
2022-01-26 23:45:38,512074,507001
2022-01-26 23:45:40,512089,506851
2022-01-26 23:45:42,511948,506862
2022-01-26 23:45:43,511843,506864
2022-01-26 23:45:45,511826,506929
2022-01-26 23:45:47,511846,506753
2022-01-26 23:45:49,511853,507004
2022-01-26 23:45:50,511873,506777
2022-01-26 23:45:52,511998,506660
2022-01-26 23:45:54,511958,506935
2022-01-26 23:45:56,512035,506793
2022-01-26 23:45:57,512030,506899
2022-01-26 23:45:59,512117,507021
2022-01-26 23:46:01,511910,506762
2022-01-26 23:46:02,511918,507060
2022-01-26 23:46:04,511940,506701
2022-01-26 23:46:06,512071,506798
2022-01-26 23:46:08,511982,506974
2022-01-26 23:46:09,512156,506871
2022-01-26 23:46:11,511947,506819
2022-01-26 23:46:13,511952,506969
2022-01-26 23:46:14,511920,506924
2022-01-26 23:46:16,512061,506863
2022-01-26 23:46:18,512018,507062
2022-01-26 23:46:20,511872,507026
2022-01-26 23:46:21,511875,506941
2022-01-26 23:46:23,512019,506620
2022-01-26 23:46:25,511992,506873
2022-01-26 23:46:27,511915,506909
2022-01-26 23:46:28,511851,506949
2022-01-26 23:46:30,511886,506804
2022-01-26 23:46:32,512085,506924
2022-01-26 23:46:33,511784,506906
2022-01-26 23:46:35,512014,507015
2022-01-26 23:46:37,511932,507010
2022-01-26 23:46:39,511925,506881
2022-01-26 23:46:40,511863,506919
2022-01-26 23:46:42,512094,506975
2022-01-26 23:46:44,511770,506674
2022-01-26 23:46:46,511914,506777
2022-01-26 23:46:47,511922,506937
2022-01-26 23:46:49,512113,507020
2022-01-26 23:46:51,512174,506867
2022-01-26 23:46:52,511821,506716
2022-01-26 23:46:54,511919,506985
2022-01-26 23:46:56,511986,506876
2022-01-26 23:46:58,511981,506898
2022-01-26 23:46:59,512081,506967
2022-01-26 23:47:01,511857,506882
2022-01-26 23:47:03,511904,506808
2022-01-26 23:47:05,512114,506729
2022-01-26 23:47:06,511978,506882
2022-01-26 23:47:08,511856,506772
2022-01-26 23:47:10,512065,506747
2022-01-26 23:47:11,511806,506795
2022-01-26 23:47:13,511994,506973
2022-01-26 23:47:15,511865,506805
2022-01-26 23:47:17,512155,507028
2022-01-26 23:47:18,512233,507050
2022-01-26 23:47:20,511957,506867
2022-01-26 23:47:22,511935,506809
2022-01-26 23:47:24,512049,506794
2022-01-26 23:47:25,512010,506968
2022-01-26 23:47:27,511986,506816
2022-01-26 23:47:29,511904,506775
2022-01-26 23:47:30,512027,506839
2022-01-26 23:47:32,512216,506774
2022-01-26 23:47:34,512050,506806
2022-01-26 23:47:36,512052,506967
2022-01-26 23:47:37,511975,506855
2022-01-26 23:47:39,511951,506961
2022-01-26 23:47:41,512078,506833
