timestamp,differential_potential_CH1,differential_potential_CH2
2022-02-10 19:20:00,513248,509457
2022-02-10 19:20:00,513248,509457
2022-02-10 19:20:01,513344,508299
2022-02-10 19:20:03,513233,508474
2022-02-10 19:20:05,513076,509798
2022-02-10 19:20:07,513277,509142
2022-02-10 19:20:08,513345,508302
2022-02-10 19:20:10,513190,508836
2022-02-10 19:20:12,513081,509793
2022-02-10 19:20:14,513344,508986
2022-02-10 19:20:15,513342,508269
2022-02-10 19:20:17,513108,508981
2022-02-10 19:20:19,513090,509782
2022-02-10 19:20:21,513363,508841
2022-02-10 19:20:22,513345,508238
2022-02-10 19:20:24,513089,509368
2022-02-10 19:20:26,513170,509747
2022-02-10 19:20:28,513342,508302
2022-02-10 19:20:29,513070,509538
2022-02-10 19:20:31,513166,509806
2022-02-10 19:20:33,513364,508408
2022-02-10 19:20:34,513197,508786
2022-02-10 19:20:36,513070,509855
2022-02-10 19:20:38,513374,508602
2022-02-10 19:20:40,513386,508309
2022-02-10 19:20:41,513092,509733
2022-02-10 19:20:43,513146,509831
2022-02-10 19:20:45,513362,508422
2022-02-10 19:20:47,513142,509013
2022-02-10 19:20:48,513081,509888
2022-02-10 19:20:50,513350,508994
2022-02-10 19:20:52,513355,508362
2022-02-10 19:20:54,513091,509213
2022-02-10 19:20:55,513076,509774
2022-02-10 19:20:57,513345,508677
2022-02-10 19:20:59,513324,508336
2022-02-10 19:21:00,513092,509834
2022-02-10 19:21:02,513292,509094
2022-02-10 19:21:04,513366,508383
2022-02-10 19:21:06,513075,509672
2022-02-10 19:21:07,513129,509865
2022-02-10 19:21:09,513337,508391
2022-02-10 19:21:11,513226,508618
2022-02-10 19:21:13,513081,509712
2022-02-10 19:21:14,513212,509773
2022-02-10 19:21:16,513338,508463
2022-02-10 19:21:18,513207,508699
2022-02-10 19:21:20,513074,509861
2022-02-10 19:21:21,513314,509095
2022-02-10 19:21:23,513345,508384
2022-02-10 19:21:25,513148,509044
2022-02-10 19:21:26,513069,509854
2022-02-10 19:21:28,513278,509210
2022-02-10 19:21:30,513350,508388
2022-02-10 19:21:32,513242,508623
2022-02-10 19:21:33,513061,509869
2022-02-10 19:21:35,513186,509723
2022-02-10 19:21:37,513325,508388
2022-02-10 19:21:39,513258,508458
2022-02-10 19:21:40,513079,509915
2022-02-10 19:21:42,513191,509765
2022-02-10 19:21:44,513332,508406
2022-02-10 19:21:46,513163,508983
2022-02-10 19:21:47,513075,509856
2022-02-10 19:21:49,513265,509150
2022-02-10 19:21:51,513335,508286
2022-02-10 19:21:53,513201,508845
2022-02-10 19:21:54,513059,509940
2022-02-10 19:21:56,513354,509019
2022-02-10 19:21:58,513335,508420
2022-02-10 19:21:59,513070,509892
2022-02-10 19:22:01,513222,509533
2022-02-10 19:22:03,513333,508427
2022-02-10 19:22:05,513206,508776
2022-02-10 19:22:06,513080,509826
2022-02-10 19:22:08,513275,509301
2022-02-10 19:22:10,513357,508527
2022-02-10 19:22:12,513215,508892
2022-02-10 19:22:13,513085,509941
2022-02-10 19:22:15,513281,509176
2022-02-10 19:22:17,513321,508370
2022-02-10 19:22:19,513133,509126
2022-02-10 19:22:20,513078,509884
2022-02-10 19:22:22,513289,509057
2022-02-10 19:22:24,513336,508358
2022-02-10 19:22:25,513216,508842
2022-02-10 19:22:27,513064,509869
2022-02-10 19:22:29,513216,509408
2022-02-10 19:22:31,513323,508384
2022-02-10 19:22:32,513272,508337
2022-02-10 19:22:34,513086,509944
2022-02-10 19:22:36,513220,509429
2022-02-10 19:22:38,513330,508462
2022-02-10 19:22:39,513263,508487
2022-02-10 19:22:41,513097,510000
2022-02-10 19:22:43,513066,509837
2022-02-10 19:22:45,513339,508824
2022-02-10 19:22:46,513356,508414
2022-02-10 19:22:48,513218,508740
2022-02-10 19:22:50,513072,509919
2022-02-10 19:22:52,513176,509828
2022-02-10 19:22:53,513348,508468
2022-02-10 19:22:55,513345,508447
2022-02-10 19:22:57,513059,509661
2022-02-10 19:22:58,513065,509902
2022-02-10 19:23:00,513324,509124
2022-02-10 19:23:02,513358,508381
2022-02-10 19:23:04,513132,509023
2022-02-10 19:23:05,513089,509951
2022-02-10 19:23:07,513351,508933
2022-02-10 19:23:09,513348,508478
2022-02-10 19:23:11,513084,509410
2022-02-10 19:23:12,513090,509896
2022-02-10 19:23:14,513324,508424
2022-02-10 19:23:16,513344,508393
2022-02-10 19:23:18,513073,509858
2022-02-10 19:23:19,513087,509867
2022-02-10 19:23:21,513344,508416
2022-02-10 19:23:23,513235,508371
2022-02-10 19:23:24,513058,509879
2022-02-10 19:23:26,513271,509360
2022-02-10 19:23:28,513320,508415
2022-02-10 19:23:30,513163,508967
2022-02-10 19:23:31,513062,509988
2022-02-10 19:23:33,513327,509091
2022-02-10 19:23:35,513298,508368
2022-02-10 19:23:37,513197,508944
2022-02-10 19:23:38,513081,509964
2022-02-10 19:23:40,513215,509803
2022-02-10 19:23:42,513334,508462
2022-02-10 19:23:44,513199,508785
2022-02-10 19:23:45,513075,510041
2022-02-10 19:23:47,513329,509152
2022-02-10 19:23:49,513328,508455
2022-02-10 19:23:50,513069,509251
2022-02-10 19:23:52,513004,509945
2022-02-10 19:23:54,513325,508987
2022-02-10 19:23:56,513312,508427
2022-02-10 19:23:57,513056,509323
2022-02-10 19:23:59,513007,509936
2022-02-10 19:24:01,513204,508746
2022-02-10 19:24:03,513173,508565
2022-02-10 19:24:04,512844,509444
2022-02-10 19:24:06,512827,510015
2022-02-10 19:24:08,513197,509124
2022-02-10 19:24:10,513241,508502
2022-02-10 19:24:11,513074,508896
2022-02-10 19:24:13,512920,509895
2022-02-10 19:24:15,513020,510011
2022-02-10 19:24:17,513303,508468
2022-02-10 19:24:18,513323,508551
2022-02-10 19:24:20,513013,509377
2022-02-10 19:24:22,512989,509912
2022-02-10 19:24:23,513342,508774
2022-02-10 19:24:25,513329,508475
2022-02-10 19:24:27,513013,509452
2022-02-10 19:24:29,513025,509995
2022-02-10 19:24:30,513341,509105
2022-02-10 19:24:32,513335,508413
2022-02-10 19:24:34,513191,508857
2022-02-10 19:24:36,513038,509922
2022-02-10 19:24:37,513132,509914
2022-02-10 19:24:39,513349,508421
2022-02-10 19:24:41,513331,508469
2022-02-10 19:24:43,513052,509990
2022-02-10 19:24:44,513098,509903
2022-02-10 19:24:46,513349,508499
2022-02-10 19:24:48,513360,508460
2022-02-10 19:24:49,513054,509671
2022-02-10 19:24:51,513049,509906
2022-02-10 19:24:53,513229,509450
2022-02-10 19:24:55,513341,508457
2022-02-10 19:24:56,513183,508932
2022-02-10 19:24:58,513044,509934
2022-02-10 19:25:00,513125,509875
2022-02-10 19:25:02,513330,508429
2022-02-10 19:25:03,513367,508410
2022-02-10 19:25:05,513057,509625
2022-02-10 19:25:07,513083,509854
2022-02-10 19:25:09,513365,508838
2022-02-10 19:25:10,513381,508467
2022-02-10 19:25:12,513062,509249
2022-02-10 19:25:14,513068,509949
2022-02-10 19:25:16,513405,508939
2022-02-10 19:25:17,513358,508496
2022-02-10 19:25:19,513138,509070
2022-02-10 19:25:21,513082,509929
2022-02-10 19:25:22,513216,509825
2022-02-10 19:25:24,513323,508392
2022-02-10 19:25:26,513305,508337
2022-02-10 19:25:28,513052,509919
2022-02-10 19:25:29,513176,509811
2022-02-10 19:25:31,513326,508405
2022-02-10 19:25:33,513227,508538
2022-02-10 19:25:35,513053,509834
2022-02-10 19:25:36,513096,509920
2022-02-10 19:25:38,513344,508579
2022-02-10 19:25:40,513328,508306
2022-02-10 19:25:42,513174,508942
2022-02-10 19:25:43,513062,509901
2022-02-10 19:25:45,513190,509613
2022-02-10 19:25:47,513340,508358
2022-02-10 19:25:48,513334,508474
2022-02-10 19:25:50,513046,509387
2022-02-10 19:25:52,513034,509925
2022-02-10 19:25:54,513197,509465
2022-02-10 19:25:55,513335,508419
2022-02-10 19:25:57,513230,508544
2022-02-10 19:25:59,513058,509854
2022-02-10 19:26:01,513078,509837
2022-02-10 19:26:02,513318,508441
2022-02-10 19:26:04,513351,508431
2022-02-10 19:26:06,513044,509629
2022-02-10 19:26:08,513049,509880
2022-02-10 19:26:09,513329,508659
2022-02-10 19:26:11,513372,508429
2022-02-10 19:26:13,513070,509326
2022-02-10 19:26:15,513078,509943
2022-02-10 19:26:16,513262,509281
2022-02-10 19:26:18,513361,508416
2022-02-10 19:26:20,513262,508555
2022-02-10 19:26:21,513067,509848
2022-02-10 19:26:23,513182,509790
2022-02-10 19:26:25,513365,508467
2022-02-10 19:26:27,513368,508447
2022-02-10 19:26:28,513077,509321
2022-02-10 19:26:30,513051,509892
2022-02-10 19:26:32,513233,509389
2022-02-10 19:26:34,513352,508409
2022-02-10 19:26:35,513233,508899
2022-02-10 19:26:37,513070,509940
2022-02-10 19:26:39,513316,509129
2022-02-10 19:26:41,513331,508308
2022-02-10 19:26:42,513148,508955
2022-02-10 19:26:44,513058,509970
2022-02-10 19:26:46,513319,509024
2022-02-10 19:26:47,513353,508406
2022-02-10 19:26:49,513199,508722
2022-02-10 19:26:51,513046,509830
2022-02-10 19:26:53,513155,509874
2022-02-10 19:26:54,513329,508396
2022-02-10 19:26:56,513261,508463
2022-02-10 19:26:58,513039,509848
2022-02-10 19:27:00,513247,509379
2022-02-10 19:27:01,513324,508288
2022-02-10 19:27:03,513153,508927
2022-02-10 19:27:05,513052,509903
2022-02-10 19:27:07,513279,509219
2022-02-10 19:27:08,513331,508348
2022-02-10 19:27:10,513087,509182
2022-02-10 19:27:12,513079,509867
2022-02-10 19:27:13,513325,508788
2022-02-10 19:27:15,513345,508394
2022-02-10 19:27:17,513095,509084
2022-02-10 19:27:19,513074,509926
2022-02-10 19:27:20,513371,508985
2022-02-10 19:27:22,513337,508399
2022-02-10 19:27:24,513298,508382
2022-02-10 19:27:26,513070,509849
2022-02-10 19:27:27,513071,509919
2022-02-10 19:27:29,513368,508803
2022-02-10 19:27:31,513327,508404
2022-02-10 19:27:33,513237,508623
2022-02-10 19:27:34,513076,509913
2022-02-10 19:27:36,513144,509868
2022-02-10 19:27:38,513334,508344
2022-02-10 19:27:40,513339,508522
2022-02-10 19:27:41,513071,509153
2022-02-10 19:27:43,513057,509878
2022-02-10 19:27:45,513185,509725
2022-02-10 19:27:46,513344,508403
2022-02-10 19:27:48,513267,508510
2022-02-10 19:27:50,513054,509869
2022-02-10 19:27:52,513138,509955
2022-02-10 19:27:53,513356,508614
2022-02-10 19:27:55,513343,508381
2022-02-10 19:27:57,513254,508559
2022-02-10 19:27:59,513055,509619
2022-02-10 19:28:00,513049,509881
2022-02-10 19:28:02,513319,509129
2022-02-10 19:28:04,513360,508480
2022-02-10 19:28:06,513275,508345
2022-02-10 19:28:07,513079,509415
2022-02-10 19:28:09,513065,509882
2022-02-10 19:28:11,513263,509294
2022-02-10 19:28:12,513365,508413
2022-02-10 19:28:14,513251,508555
2022-02-10 19:28:16,513063,509808
2022-02-10 19:28:18,513096,509949
2022-02-10 19:28:19,513266,509287
2022-02-10 19:28:21,513356,508432
2022-02-10 19:28:23,513398,508487
2022-02-10 19:28:25,513118,509177
2022-02-10 19:28:26,513111,509999
2022-02-10 19:28:28,513275,509298
2022-02-10 19:28:30,513349,508452
2022-02-10 19:28:32,513262,508556
2022-02-10 19:28:33,513072,509899
2022-02-10 19:28:35,513255,509342
2022-02-10 19:28:37,513348,508413
2022-02-10 19:28:39,513343,508422
2022-02-10 19:28:40,513076,509817
2022-02-10 19:28:42,513073,509859
2022-02-10 19:28:44,513335,508831
2022-02-10 19:28:45,513335,508385
2022-02-10 19:28:47,513142,509004
2022-02-10 19:28:49,513079,510004
2022-02-10 19:28:51,513357,509024
2022-02-10 19:28:52,513352,508379
2022-02-10 19:28:54,513087,509248
2022-02-10 19:28:56,513049,509954
2022-02-10 19:28:58,513204,509735
2022-02-10 19:28:59,513309,508415
2022-02-10 19:29:01,513276,508331
2022-02-10 19:29:03,513045,509415
2022-02-10 19:29:05,513070,509952
2022-02-10 19:29:06,513318,509137
2022-02-10 19:29:08,513322,508348
2022-02-10 19:29:10,513269,508560
2022-02-10 19:29:11,513072,509957
2022-02-10 19:29:13,513094,509982
2022-02-10 19:29:15,513412,508803
2022-02-10 19:29:17,513355,508427
2022-02-10 19:29:18,513197,508879
2022-02-10 19:29:20,513053,509888
2022-02-10 19:29:22,513183,509913
2022-02-10 19:29:24,513333,508459
2022-02-10 19:29:25,513234,508647
2022-02-10 19:29:27,513058,510013
2022-02-10 19:29:29,513157,509988
2022-02-10 19:29:31,513328,508407
2022-02-10 19:29:32,513304,508356
2022-02-10 19:29:34,513053,509984
2022-02-10 19:29:36,513122,509937
2022-02-10 19:29:38,513328,508475
2022-02-10 19:29:39,513342,508457
2022-02-10 19:29:41,513071,509855
2022-02-10 19:29:43,513188,509826
2022-02-10 19:29:44,513338,508542
2022-02-10 19:29:46,513207,508790
2022-02-10 19:29:48,513059,509900
2022-02-10 19:29:50,513191,509699
2022-02-10 19:29:51,513321,508508
2022-02-10 19:29:53,513336,508448
2022-02-10 19:29:55,513066,509343
2022-02-10 19:29:57,513040,509898
2022-02-10 19:29:58,513331,509126
2022-02-10 19:30:00,513366,508481
2022-02-10 19:30:02,513223,508538
2022-02-10 19:30:04,513060,509880
2022-02-10 19:30:05,513155,509895
2022-02-10 19:30:07,513313,508439
2022-02-10 19:30:09,513366,508432
2022-02-10 19:30:10,513059,509688
2022-02-10 19:30:12,513070,509906
2022-02-10 19:30:14,513348,508708
2022-02-10 19:30:16,513313,508416
2022-02-10 19:30:17,513051,509974
2022-02-10 19:30:19,513189,509753
2022-02-10 19:30:21,513395,508466
2022-02-10 19:30:23,513247,508578
2022-02-10 19:30:24,513035,509906
2022-02-10 19:30:26,513236,509404
2022-02-10 19:30:28,513336,508380
2022-02-10 19:30:30,513067,509346
2022-02-10 19:30:31,513059,509920
2022-02-10 19:30:33,513318,508433
2022-02-10 19:30:35,513326,508316
2022-02-10 19:30:36,513066,509952
2022-02-10 19:30:38,513176,509560
2022-02-10 19:30:40,513345,508457
2022-02-10 19:30:42,513212,508782
2022-02-10 19:30:43,513063,509951
2022-02-10 19:30:45,513311,509080
2022-02-10 19:30:47,513323,508414
2022-02-10 19:30:49,513068,509258
2022-02-10 19:30:50,513031,509885
2022-02-10 19:30:52,513315,508489
2022-02-10 19:30:54,513346,508365
2022-02-10 19:30:56,513050,509921
2022-02-10 19:30:57,513233,509396
2022-02-10 19:30:59,513340,508508
2022-02-10 19:31:01,513054,509483
2022-02-10 19:31:03,513089,509886
2022-02-10 19:31:04,513354,508689
2022-02-10 19:31:06,513359,508553
2022-02-10 19:31:08,513075,509972
2022-02-10 19:31:09,513139,509851
2022-02-10 19:31:11,513333,508389
2022-02-10 19:31:13,513212,508880
2022-02-10 19:31:15,513057,509983
2022-02-10 19:31:16,513272,509290
2022-02-10 19:31:18,513341,508440
2022-02-10 19:31:20,513073,509462
2022-02-10 19:31:22,513106,509859
2022-02-10 19:31:23,513369,508758
2022-02-10 19:31:25,513371,508453
2022-02-10 19:31:27,513087,509925
2022-02-10 19:31:29,513129,509901
2022-02-10 19:31:30,513344,508386
2022-02-10 19:31:32,513209,508814
2022-02-10 19:31:34,513072,509932
2022-02-10 19:31:35,513370,508934
2022-02-10 19:31:37,513369,508422
2022-02-10 19:31:39,513060,509905
2022-02-10 19:31:41,513167,509867
2022-02-10 19:31:42,513349,508415
2022-02-10 19:31:44,513095,509156
2022-02-10 19:31:46,513071,509878
2022-02-10 19:31:48,513323,508405
2022-02-10 19:31:49,513309,508287
2022-02-10 19:31:51,513065,509871
2022-02-10 19:31:53,513290,509262
2022-02-10 19:31:55,513359,508396
2022-02-10 19:31:56,513110,509226
2022-02-10 19:31:58,513079,509860
2022-02-10 19:32:00,513379,508958
2022-02-10 19:32:02,513356,508423
