timestamp,differential_potential_CH1,differential_potential_CH2
2022-02-08 15:00:01,510112,508560
2022-02-08 15:00:03,510063,508226
2022-02-08 15:00:04,509983,508221
2022-02-08 15:00:06,510118,508560
2022-02-08 15:00:08,510049,508554
2022-02-08 15:00:09,509981,508238
2022-02-08 15:00:11,510005,508243
2022-02-08 15:00:13,510071,508535
2022-02-08 15:00:15,510056,508612
2022-02-08 15:00:16,509948,508280
2022-02-08 15:00:18,510003,508223
2022-02-08 15:00:20,510078,508461
2022-02-08 15:00:22,510058,508491
2022-02-08 15:00:23,509935,508340
2022-02-08 15:00:25,510003,508201
2022-02-08 15:00:27,510092,508431
2022-02-08 15:00:28,510107,508664
2022-02-08 15:00:30,509986,508337
2022-02-08 15:00:32,510001,508237
2022-02-08 15:00:34,510114,508716
2022-02-08 15:00:35,510046,508508
2022-02-08 15:00:37,509975,508310
2022-02-08 15:00:39,509990,508212
2022-02-08 15:00:41,510074,508400
2022-02-08 15:00:42,510062,508536
2022-02-08 15:00:44,509946,508238
2022-02-08 15:00:46,509975,508149
2022-02-08 15:00:47,510018,508515
2022-02-08 15:00:49,509931,508307
2022-02-08 15:00:51,509999,508232
2022-02-08 15:00:53,510096,508462
2022-02-08 15:00:54,510054,508552
2022-02-08 15:00:56,509930,508346
2022-02-08 15:00:58,509954,508266
2022-02-08 15:01:00,510071,508508
2022-02-08 15:01:01,510077,508564
2022-02-08 15:01:03,509956,508313
2022-02-08 15:01:05,510018,508224
2022-02-08 15:01:06,510111,508524
2022-02-08 15:01:08,510048,508686
2022-02-08 15:01:10,509946,508235
2022-02-08 15:01:12,509984,508306
2022-02-08 15:01:13,510080,508470
2022-02-08 15:01:15,510108,508540
2022-02-08 15:01:17,509963,508350
2022-02-08 15:01:18,509991,508201
2022-02-08 15:01:20,510068,508628
2022-02-08 15:01:22,510030,508528
2022-02-08 15:01:24,510061,508335
2022-02-08 15:01:25,510017,508285
2022-02-08 15:01:27,509991,508318
2022-02-08 15:01:29,510128,508496
2022-02-08 15:01:31,510074,508371
2022-02-08 15:01:32,510004,508319
2022-02-08 15:01:34,510104,508613
2022-02-08 15:01:36,510034,508541
2022-02-08 15:01:37,510055,508426
2022-02-08 15:01:39,509986,508369
2022-02-08 15:01:41,509972,508226
2022-02-08 15:01:43,510111,508560
2022-02-08 15:01:44,510015,508516
2022-02-08 15:01:46,509945,508261
2022-02-08 15:01:48,509960,508220
2022-02-08 15:01:50,510109,508664
2022-02-08 15:01:51,510042,508536
2022-02-08 15:01:53,509921,508211
2022-02-08 15:01:55,509999,508252
2022-02-08 15:01:56,510129,508589
2022-02-08 15:01:58,510035,508452
2022-02-08 15:02:00,509940,508250
2022-02-08 15:02:02,509992,508174
2022-02-08 15:02:03,510039,508515
2022-02-08 15:02:05,510078,508254
2022-02-08 15:02:07,509989,508291
2022-02-08 15:02:08,509990,508190
2022-02-08 15:02:10,510078,508540
2022-02-08 15:02:12,509960,508197
2022-02-08 15:02:14,510019,508156
2022-02-08 15:02:15,510107,508568
2022-02-08 15:02:17,510051,508514
2022-02-08 15:02:19,510060,508180
2022-02-08 15:02:21,509959,508141
2022-02-08 15:02:22,509975,508129
2022-02-08 15:02:24,510083,508482
2022-02-08 15:02:26,510127,508224
2022-02-08 15:02:27,509995,508117
2022-02-08 15:02:29,510130,508536
2022-02-08 15:02:31,510086,508661
2022-02-08 15:02:33,509915,508208
2022-02-08 15:02:34,509961,508169
2022-02-08 15:02:36,510009,508158
