timestamp,differential_potential_CH1,differential_potential_CH2
2022-01-26 01:50:01,0.011,-5.147
2022-01-26 01:50:02,0.10300000000000001,-5.304
2022-01-26 01:50:04,0.28200000000000003,-5.167
2022-01-26 01:50:06,0.105,-5.198
2022-01-26 01:50:07,0.276,-5.01
2022-01-26 01:50:09,0.323,-5.221
2022-01-26 01:50:11,0.211,-5.149
2022-01-26 01:50:13,0.28800000000000003,-4.997
2022-01-26 01:50:14,0.225,-5.171
2022-01-26 01:50:16,0.117,-5.276
2022-01-26 01:50:18,0.128,-5.041
2022-01-26 01:50:20,0.135,-5.26
2022-01-26 01:50:21,0.276,-5.1160000000000005
2022-01-26 01:50:23,0.293,-4.938
2022-01-26 01:50:25,0.146,-5.16
2022-01-26 01:50:26,0.155,-5.087
2022-01-26 01:50:28,0.506,-5.222
2022-01-26 01:50:30,0.101,-5.287
2022-01-26 01:50:32,0.17500000000000002,-5.15
2022-01-26 01:50:33,0.125,-5.106
2022-01-26 01:50:35,0.107,-5.164
2022-01-26 01:50:37,0.193,-5.211
2022-01-26 01:50:39,0.002,-5.303
2022-01-26 01:50:40,0.218,-5.112
2022-01-26 01:50:42,0.153,-5.242
2022-01-26 01:50:44,0.17200000000000001,-5.102
2022-01-26 01:50:45,0.361,-5.002
2022-01-26 01:50:47,0.186,-5.093
2022-01-26 01:50:49,0.243,-5.034
2022-01-26 01:50:51,0.309,-5.265
2022-01-26 01:50:52,0.156,-5.162
2022-01-26 01:50:54,0.23500000000000001,-5.022
2022-01-26 01:50:56,0.229,-5.228
2022-01-26 01:50:58,0.076,-5.413
2022-01-26 01:50:59,0.202,-5.017
2022-01-26 01:51:01,0.098,-5.165
2022-01-26 01:51:03,0.127,-5.118
2022-01-26 01:51:04,0.231,-5.17
2022-01-26 01:51:06,0.192,-5.406
2022-01-26 01:51:08,0.159,-5.104
2022-01-26 01:51:10,0.202,-5.258
2022-01-26 01:51:11,0.209,-5.075
2022-01-26 01:51:13,0.178,-5.211
2022-01-26 01:51:15,0.156,-5.148
2022-01-26 01:51:17,0.186,-5.2010000000000005
2022-01-26 01:51:18,0.17,-5.1450000000000005
2022-01-26 01:51:20,0.217,-5.0520000000000005
2022-01-26 01:51:22,0.163,-5.203
2022-01-26 01:51:23,0.218,-5.162
2022-01-26 01:51:25,0.26,-5.164
2022-01-26 01:51:27,0.17,-5.173
2022-01-26 01:51:29,0.11800000000000001,-5.131
2022-01-26 01:51:30,0.155,-5.305
2022-01-26 01:51:32,0.08700000000000001,-5.513
2022-01-26 01:51:34,0.188,-5.071
2022-01-26 01:51:36,0.113,-5.2700000000000005
2022-01-26 01:51:37,0.253,-5.186
2022-01-26 01:51:39,0.158,-5.255
2022-01-26 01:51:41,0.052000000000000005,-5.383
2022-01-26 01:51:42,0.168,-5.083
2022-01-26 01:51:44,0.213,-5.031
2022-01-26 01:51:46,0.168,-5.194
2022-01-26 01:51:48,0.44,-5.222
2022-01-26 01:51:49,0.184,-5.171
2022-01-26 01:51:51,0.064,-5.094
2022-01-26 01:51:53,0.258,-5.295
2022-01-26 01:51:55,0.136,-4.962
2022-01-26 01:51:56,0.128,-5.019
2022-01-26 01:51:58,0.211,-5.149
2022-01-26 01:52:00,0.124,-5.048
2022-01-26 01:52:01,0.055,-5.206
2022-01-26 01:52:03,0.107,-5.316
2022-01-26 01:52:05,0.146,-5.218
2022-01-26 01:52:07,0.15,-5.15
2022-01-26 01:52:08,0.165,-5.202
2022-01-26 01:52:10,0.47600000000000003,-5.236
2022-01-26 01:52:12,0.209,-5.199
2022-01-26 01:52:14,0.015,-5.039
2022-01-26 01:52:15,0.054,-5.231
2022-01-26 01:52:17,0.23,-5.05
2022-01-26 01:52:19,0.277,-5.333
2022-01-26 01:52:20,0.178,-5.247
2022-01-26 01:52:22,0.219,-4.998
2022-01-26 01:52:24,0.066,-5.11
2022-01-26 01:52:26,0.14300000000000002,-5.212
2022-01-26 01:52:27,0.146,-5.218
2022-01-26 01:52:29,0.191,-5.197
2022-01-26 01:52:31,0.26,-4.988
2022-01-26 01:52:33,0.378,-5.024
2022-01-26 01:52:34,0.297,-5.194
2022-01-26 01:52:36,0.154,-5.191
2022-01-26 01:52:38,0.101,-5.215
2022-01-26 01:52:39,0.055,-5.249
2022-01-26 01:52:41,0.14100000000000001,-5.094
2022-01-26 01:52:43,0.051000000000000004,-5.188
2022-01-26 01:52:45,0.20400000000000001,-5.101
2022-01-26 01:52:46,0.491,-5.178
2022-01-26 01:52:48,0.062,-5.319
2022-01-26 01:52:50,0.168,-5.152
2022-01-26 01:52:52,0.116,-5.071
2022-01-26 01:52:53,0.244,-5.079
2022-01-26 01:52:55,0.433,-5.264
2022-01-26 01:52:57,0.135,-5.085
2022-01-26 01:52:58,0.127,-5.058
2022-01-26 01:53:00,0.028,-5.072
2022-01-26 01:53:02,0.24,-5.122
2022-01-26 01:53:04,0.12,-5.082
2022-01-26 01:53:05,0.027,-5.228
2022-01-26 01:53:07,0.213,-5.0440000000000005
2022-01-26 01:53:09,0.17400000000000002,-5.155
2022-01-26 01:53:11,0.126,-5.005
2022-01-26 01:53:12,0.34500000000000003,-5.172
2022-01-26 01:53:14,0.215,-5.2330000000000005
2022-01-26 01:53:16,0.257,-4.98
2022-01-26 01:53:17,0.136,-5.1000000000000005
2022-01-26 01:53:19,0.12,-5.013
2022-01-26 01:53:21,0.113,-4.972
2022-01-26 01:53:23,0.14200000000000002,-5.228
2022-01-26 01:53:24,0.255,-5.081
2022-01-26 01:53:26,0.03,-5.131
2022-01-26 01:53:28,0.098,-5.29
2022-01-26 01:53:30,0.029,-4.946
2022-01-26 01:53:31,0.098,-5.085
2022-01-26 01:53:33,0.184,-4.934
2022-01-26 01:53:35,0.46,-5.11
2022-01-26 01:53:36,0.1,-5.297
2022-01-26 01:53:38,0.164,-4.95
2022-01-26 01:53:40,0.20800000000000002,-4.9910000000000005
2022-01-26 01:53:42,0.11,-5.038
2022-01-26 01:53:43,0.34700000000000003,-5.224
2022-01-26 01:53:45,0.178,-5.172
2022-01-26 01:53:47,0.182,-5.05
2022-01-26 01:53:48,0.189,-5.203
2022-01-26 01:53:50,0.28200000000000003,-5.096
2022-01-26 01:53:52,0.3,-5.314
2022-01-26 01:53:54,0.07100000000000001,-5.243
2022-01-26 01:53:55,0.166,-5.083
2022-01-26 01:53:57,0.073,-5.3
2022-01-26 01:53:59,0.212,-5.093
2022-01-26 01:54:01,-0.056,-5.174
2022-01-26 01:54:02,0.221,-5.117
2022-01-26 01:54:04,0.387,-5.155
2022-01-26 01:54:06,0.159,-5.277
2022-01-26 01:54:07,0.314,-5.133
2022-01-26 01:54:09,0.116,-5.181
2022-01-26 01:54:11,0.024,-5.349
2022-01-26 01:54:13,0.23500000000000001,-5.146
2022-01-26 01:54:14,0.14100000000000001,-5.103
2022-01-26 01:54:16,0.191,-5.023
2022-01-26 01:54:18,0.312,-5.0200000000000005
2022-01-26 01:54:20,0.123,-5.2620000000000005
2022-01-26 01:54:21,0.14400000000000002,-5.054
2022-01-26 01:54:23,0.153,-5.223
2022-01-26 01:54:25,0.188,-5.256
2022-01-26 01:54:26,0.262,-5.115
2022-01-26 01:54:28,0.056,-5.093
2022-01-26 01:54:30,0.07100000000000001,-4.955
2022-01-26 01:54:32,0.467,-5.109
2022-01-26 01:54:33,0.138,-5.151
2022-01-26 01:54:35,0.034,-4.937
2022-01-26 01:54:37,0.127,-5.191
2022-01-26 01:54:39,0.084,-4.977
2022-01-26 01:54:40,0.137,-5.096
2022-01-26 01:54:42,0.222,-5.1770000000000005
2022-01-26 01:54:44,0.214,-5.115
2022-01-26 01:54:45,0.07200000000000001,-5.243
2022-01-26 01:54:47,0.27,-4.908
2022-01-26 01:54:49,0.117,-4.865
2022-01-26 01:54:51,0.105,-5.086
2022-01-26 01:54:52,0.11900000000000001,-5.086
2022-01-26 01:54:54,0.164,-5.223
2022-01-26 01:54:56,0.226,-4.995
2022-01-26 01:54:58,0.20500000000000002,-5.235
2022-01-26 01:54:59,0.076,-5.236
2022-01-26 01:55:01,-0.003,-5.048
2022-01-26 01:55:03,0.203,-5.033
2022-01-26 01:55:04,0.269,-5.031
2022-01-26 01:55:06,0.061,-5.197
2022-01-26 01:55:08,0.252,-5.0040000000000004
2022-01-26 01:55:10,0.224,-5.235
2022-01-26 01:55:11,0.146,-5.165
2022-01-26 01:55:13,0.155,-5.103
2022-01-26 01:55:15,0.184,-5.269
2022-01-26 01:55:17,0.154,-5.101
2022-01-26 01:55:18,0.315,-5.34
2022-01-26 01:55:20,0.137,-5.206
2022-01-26 01:55:22,0.253,-5.097
2022-01-26 01:55:23,0.101,-5.211
2022-01-26 01:55:25,0.228,-5.13
2022-01-26 01:55:27,0.377,-5.121
2022-01-26 01:55:29,0.19,-5.1610000000000005
2022-01-26 01:55:30,0.057,-5.081
2022-01-26 01:55:32,0.14200000000000002,-5.244
2022-01-26 01:55:34,0.056,-5.054
2022-01-26 01:55:36,0.486,-5.199
2022-01-26 01:55:37,-0.045,-5.098
2022-01-26 01:55:39,0.135,-5.09
2022-01-26 01:55:41,0.111,-5.055
2022-01-26 01:55:42,0.11900000000000001,-4.922
2022-01-26 01:55:44,-0.011,-5.274
2022-01-26 01:55:46,-0.017,-5.479
2022-01-26 01:55:48,0.156,-5.029
2022-01-26 01:55:49,0.194,-5.172
2022-01-26 01:55:51,0.151,-5.071
2022-01-26 01:55:53,0.179,-5.284
2022-01-26 01:55:55,0.177,-5.071
2022-01-26 01:55:56,0.297,-5.242
2022-01-26 01:55:58,0.134,-5.196
2022-01-26 01:56:00,0.202,-5.1610000000000005
2022-01-26 01:56:01,0.016,-5.16
2022-01-26 01:56:03,0.23600000000000002,-4.987
2022-01-26 01:56:05,0.099,-5.211
2022-01-26 01:56:07,0.009000000000000001,-5.259
2022-01-26 01:56:08,0.17200000000000001,-5.211
2022-01-26 01:56:10,0.209,-5.113
2022-01-26 01:56:12,0.189,-5.094
2022-01-26 01:56:14,0.07200000000000001,-5.139
2022-01-26 01:56:15,0.058,-5.192
2022-01-26 01:56:17,0.263,-5.08
2022-01-26 01:56:19,0.133,-5.199
2022-01-26 01:56:20,-0.005,-5.077
2022-01-26 01:56:22,0.112,-5.073
2022-01-26 01:56:24,0.20800000000000002,-5.022
2022-01-26 01:56:26,0.332,-5.239
2022-01-26 01:56:27,0.167,-5.139
2022-01-26 01:56:29,-0.101,-5.0200000000000005
2022-01-26 01:56:31,0.225,-5.2250000000000005
2022-01-26 01:56:33,0.3,-4.963
2022-01-26 01:56:34,0.21,-5.397
2022-01-26 01:56:36,0.043000000000000003,-5.199
2022-01-26 01:56:38,0.025,-5.216
2022-01-26 01:56:39,0.101,-5.17
2022-01-26 01:56:41,0.129,-5.123
2022-01-26 01:56:43,0.47200000000000003,-5.264
2022-01-26 01:56:45,0.154,-5.28
2022-01-26 01:56:46,0.18,-5.144
2022-01-26 01:56:48,0.197,-5.188
2022-01-26 01:56:50,0.127,-4.944
2022-01-26 01:56:52,0.187,-5.258
2022-01-26 01:56:53,0.181,-5.037
2022-01-26 01:56:55,0.145,-5.0440000000000005
2022-01-26 01:56:57,0.047,-5.226
2022-01-26 01:56:58,0.061,-5.085
2022-01-26 01:57:00,0.211,-5.231
2022-01-26 01:57:02,0.166,-5.011
2022-01-26 01:57:04,0.41000000000000003,-5.373
2022-01-26 01:57:05,0.074,-5.288
2022-01-26 01:57:07,0.139,-5.0
2022-01-26 01:57:09,0.167,-5.174
2022-01-26 01:57:11,0.164,-5.1160000000000005
2022-01-26 01:57:12,0.162,-5.189
2022-01-26 01:57:14,0.148,-4.921
2022-01-26 01:57:16,0.417,-5.239
2022-01-26 01:57:17,0.122,-5.2700000000000005
2022-01-26 01:57:19,0.166,-5.009
2022-01-26 01:57:21,0.137,-5.273
2022-01-26 01:57:23,0.262,-4.962
2022-01-26 01:57:24,0.249,-5.086
2022-01-26 01:57:26,0.016,-5.097
2022-01-26 01:57:28,0.169,-5.094
2022-01-26 01:57:30,0.111,-5.157
2022-01-26 01:57:31,0.017,-5.439
2022-01-26 01:57:33,0.10300000000000001,-4.9510000000000005
2022-01-26 01:57:35,0.185,-5.1160000000000005
2022-01-26 01:57:36,0.17200000000000001,-5.167
2022-01-26 01:57:38,0.153,-5.256
2022-01-26 01:57:40,0.253,-5.095
2022-01-26 01:57:42,0.21,-5.0360000000000005
2022-01-26 01:57:43,0.01,-5.1530000000000005
2022-01-26 01:57:45,0.23600000000000002,-5.123
2022-01-26 01:57:47,0.093,-5.155
2022-01-26 01:57:49,0.34800000000000003,-4.973
2022-01-26 01:57:50,0.145,-5.058
2022-01-26 01:57:52,0.088,-5.317
2022-01-26 01:57:54,0.217,-5.059
2022-01-26 01:57:55,0.111,-5.364
