series_1,series_2,series_3,series_4
2022-02-03 23:40:00,2022-02-13 04:00:00,2022-03-02 06:10:00,2022-03-08 19:20:00
2022-02-04 23:40:00,2022-02-11 15:00:00,2022-03-05 06:10:00,2022-03-09 21:30:00
2022-01-30 06:10:00,2022-02-08 06:10:00,2022-03-04 06:10:00,2022-03-10 06:10:00
2022-01-29 15:00:00,2022-02-11 23:40:00,2022-03-03 06:10:00,2022-03-09 15:00:00
2022-01-27 17:10:00,2022-02-13 01:50:00,2022-03-01 17:10:00,2022-03-07 17:10:00
2022-02-06 04:00:00,2022-02-11 21:30:00,2022-03-02 15:00:00,2022-03-09 23:40:00
2022-01-29 23:40:00,2022-02-10 19:20:00,2022-03-02 23:40:00,2022-03-08 21:30:00
2022-02-01 04:00:00,2022-02-07 04:00:00,2022-03-03 19:20:00,2022-03-09 19:20:00
2022-02-03 15:00:00,2022-02-10 23:40:00,2022-03-04 19:20:00,2022-03-08 23:40:00
2022-02-04 15:00:00,2022-02-12 04:00:00,2022-03-02 21:30:00,2022-03-06 17:10:00
2022-01-25 06:10:00,2022-02-09 06:10:00,2022-03-03 23:40:00,2022-03-08 15:00:00
2022-02-03 21:30:00,2022-02-10 15:00:00,2022-03-04 23:40:00,2022-03-11 06:10:00
2022-02-05 19:20:00,2022-02-11 19:20:00,2022-03-03 15:00:00,2022-03-07 04:00:00
2022-02-01 01:50:00,2022-02-10 21:30:00,2022-03-04 15:00:00,2022-03-10 23:40:00
2022-02-04 21:30:00,2022-02-12 01:50:00,2022-03-01 04:00:00,2022-03-09 06:10:00
2022-02-02 19:20:00,2022-02-07 01:50:00,2022-03-03 21:30:00,2022-03-10 15:00:00
2022-02-06 01:50:00,2022-02-08 21:30:00,2022-03-01 01:50:00,2022-03-05 23:40:00
2022-01-28 19:20:00,2022-02-09 19:20:00,2022-03-04 21:30:00,2022-03-10 21:30:00
2022-01-29 21:30:00,2022-02-08 23:40:00,2022-03-02 19:20:00,2022-03-07 01:50:00
2022-01-28 23:40:00,2022-02-06 17:10:00,2022-03-01 23:40:00,2022-03-05 21:30:00
2022-01-26 17:10:00,2022-02-08 15:00:00,2022-03-03 04:00:00,2022-03-08 06:10:00
2022-02-05 15:00:00,2022-02-11 06:10:00,2022-03-04 04:00:00,2022-03-06 04:00:00
2022-01-24 06:10:00,2022-02-08 19:20:00,2022-02-28 23:40:00,2022-03-05 19:20:00
2022-02-02 15:00:00,2022-02-09 21:30:00,2022-03-01 15:00:00,2022-03-06 01:50:00
2022-02-05 23:40:00,2022-02-12 17:10:00,2022-03-04 01:50:00,2022-03-10 19:20:00
2022-02-02 23:40:00,2022-02-10 06:10:00,2022-03-03 01:50:00,2022-03-06 23:40:00
2022-01-28 15:00:00,2022-02-09 15:00:00,2022-03-01 21:30:00,2022-03-11 04:00:00
2022-01-31 06:10:00,2022-02-07 17:10:00,2022-02-28 21:30:00,2022-03-08 17:10:00
2022-01-28 21:30:00,2022-02-09 23:40:00,2022-03-05 04:00:00,2022-03-06 15:00:00
2022-01-29 19:20:00,2022-02-09 01:50:00,2022-03-02 04:00:00,2022-03-06 21:30:00
2022-02-03 19:20:00,2022-02-12 06:10:00,2022-02-28 19:20:00,2022-03-07 19:20:00
2022-02-05 21:30:00,2022-02-10 17:10:00,2022-03-02 01:50:00,2022-03-11 01:50:00
2022-02-04 19:20:00,2022-02-09 04:00:00,2022-03-05 01:50:00,2022-03-07 15:00:00
2022-02-02 21:30:00,2022-02-07 06:10:00,2022-03-01 19:20:00,2022-03-09 17:10:00
2022-01-31 19:20:00,2022-02-08 01:50:00,2022-03-04 17:10:00,2022-03-10 04:00:00
2022-01-30 21:30:00,2022-02-13 06:10:00,2022-03-03 17:10:00,2022-03-07 23:40:00
2022-01-27 01:50:00,2022-02-08 04:00:00,2022-03-01 06:10:00,2022-03-10 01:50:00
2022-01-23 19:20:00,2022-02-11 17:10:00,2022-03-02 17:10:00,2022-03-06 19:20:00
2022-01-25 21:30:00,2022-02-07 15:00:00,,2022-03-07 21:30:00
2022-01-24 19:20:00,2022-02-12 23:40:00,,2022-03-08 01:50:00
2022-02-01 17:10:00,2022-02-12 15:00:00,,2022-03-06 06:10:00
2022-01-27 04:00:00,2022-02-09 17:10:00,,2022-03-08 04:00:00
2022-01-30 23:40:00,2022-02-10 04:00:00,,2022-03-09 01:50:00
2022-02-04 06:10:00,2022-02-07 23:40:00,,2022-03-10 17:10:00
2022-01-25 15:00:00,2022-02-10 01:50:00,,2022-03-09 04:00:00
2022-02-03 06:10:00,2022-02-12 21:30:00,,2022-03-07 06:10:00
2022-01-25 23:40:00,2022-02-06 19:20:00,,
2022-01-29 06:10:00,2022-02-07 21:30:00,,
2022-01-30 15:00:00,2022-02-06 23:40:00,,
2022-01-23 21:30:00,2022-02-11 04:00:00,,
2022-01-25 19:20:00,2022-02-08 17:10:00,,
2022-01-24 21:30:00,2022-02-06 15:00:00,,
2022-01-26 01:50:00,2022-02-06 21:30:00,,
2022-01-31 21:30:00,2022-02-07 19:20:00,,
2022-01-30 19:20:00,2022-02-12 19:20:00,,
2022-01-23 23:40:00,2022-02-11 01:50:00,,
2022-01-24 23:40:00,,,
2022-01-31 15:00:00,,,
2022-01-28 06:10:00,,,
2022-01-31 23:40:00,,,
2022-01-26 04:00:00,,,
2022-02-02 06:10:00,,,
2022-01-23 15:00:00,,,
2022-02-05 06:10:00,,,
2022-01-24 15:00:00,,,
2022-01-24 01:50:00,,,
2022-01-26 21:30:00,,,
2022-01-27 19:20:00,,,
2022-01-31 01:50:00,,,
2022-01-26 23:40:00,,,
2022-01-31 04:00:00,,,
2022-01-28 17:10:00,,,
2022-01-26 15:00:00,,,
2022-02-02 17:10:00,,,
2022-01-24 04:00:00,,,
2022-02-05 17:10:00,,,
2022-01-30 01:50:00,,,
2022-01-26 19:20:00,,,
2022-01-27 21:30:00,,,
2022-01-25 01:50:00,,,
2022-02-01 06:10:00,,,
2022-02-06 06:10:00,,,
2022-01-27 15:00:00,,,
2022-01-25 04:00:00,,,
2022-02-04 17:10:00,,,
2022-02-03 17:10:00,,,
2022-01-29 17:10:00,,,
2022-01-30 04:00:00,,,
2022-01-27 23:40:00,,,
2022-01-26 06:10:00,,,
2022-01-24 17:10:00,,,
2022-02-05 04:00:00,,,
2022-01-23 17:10:00,,,
2022-02-02 04:00:00,,,
2022-01-28 04:00:00,,,
2022-01-31 17:10:00,,,
2022-01-28 01:50:00,,,
2022-02-02 01:50:00,,,
2022-02-05 01:50:00,,,
2022-02-01 19:20:00,,,
2022-01-30 17:10:00,,,
2022-02-01 23:40:00,,,
2022-01-29 04:00:00,,,
2022-02-06 15:00:00,,,
2022-01-27 06:10:00,,,
2022-02-01 15:00:00,,,
2022-02-03 04:00:00,,,
2022-01-25 17:10:00,,,
2022-02-04 04:00:00,,,
2022-02-04 01:50:00,,,
2022-02-03 01:50:00,,,
2022-02-01 21:30:00,,,
2022-01-29 01:50:00,,,
